From Date,To Date,PM2.5,PM10,NO2,NOx,SO2,CO,Ozone,NH3
16-06-2024 12:00,16-06-2024 13:00,44.75,92.5,57.08,41.08,14.48,1.13,36.85,18.32
24-01-2024 21:00,24-01-2024 22:00,136.5,181.75,35.95,35.12,7.7,1.4,25.9,24.75
13-02-2024 14:00,13-02-2024 15:00,165.0,186.75,3.15,17.88,21.68,1.38,139.1,4.92
30-01-2024 12:00,30-01-2024 13:00,269.0,325.0,58.83,51.1,18.35,1.95,,32.67
20-04-2024 08:00,20-04-2024 09:00,95.75,214.0,66.75,49.33,17.8,1.26,16.88,13.62
17-09-2024 14:00,17-09-2024 15:00,50.75,110.75,22.3,28.45,16.68,0.95,21.55,53.33
22-12-2024 15:00,22-12-2024 16:00,184.25,244.25,179.4,110.02,23.05,0.64,22.02,33.42
19-08-2024 21:00,19-08-2024 22:00,28.5,32.75,57.1,61.67,19.3,1.84,11.57,56.67
15-12-2024 14:00,15-12-2024 15:00,129.0,194.75,77.72,53.12,15.38,1.15,78.1,26.75
03-03-2024 21:00,03-03-2024 22:00,51.5,165.75,43.25,32.58,9.25,1.04,20.48,16.02
12-12-2024 10:00,12-12-2024 11:00,139.5,224.0,88.67,58.55,12.22,1.12,31.1,26.65
30-06-2024 17:00,30-06-2024 18:00,57.25,69.25,11.35,18.77,22.68,1.22,25.05,16.65
28-04-2024 03:00,28-04-2024 04:00,49.5,79.0,45.17,35.33,17.73,1.04,17.98,16.95
04-12-2024 23:00,05-12-2024 00:00,75.67,149.33,132.17,87.13,20.3,1.46,9.3,26.93
21-02-2024 08:00,21-02-2024 09:00,139.0,210.75,32.42,40.17,10.45,1.01,15.65,15.12
27-07-2024 09:00,27-07-2024 10:00,57.0,69.0,125.12,75.32,17.02,1.27,5.05,53.65
17-08-2024 19:00,17-08-2024 20:00,30.0,33.0,64.6,60.9,21.12,2.11,10.97,19.32
07-03-2024 18:00,07-03-2024 19:00,39.0,90.25,30.82,25.05,12.7,0.95,36.93,12.78
01-07-2024 18:00,01-07-2024 19:00,34.5,52.25,7.6,18.0,10.28,1.12,25.55,16.98
12-12-2024 16:00,12-12-2024 17:00,76.5,133.75,81.9,55.05,14.95,0.95,44.08,26.5
11-11-2024 19:00,11-11-2024 20:00,212.25,311.25,133.43,131.47,8.5,8.01,28.97,42.55
